name,location,personal_contact,manager_contact,tags,bio,notes
"Avi Snow","los angeles","tbd","tbd","producer|writer|dance|pop|los angeles","Los Angeles multi-instrumentalist, writer, and producer with global dance-pop credits and major streaming success.","Producer/writer; global dance with pop influence"
"Benni Ola","los angeles","tbd","tbd","singer|songwriter|dance|house|r&b|kpop|rap|los angeles","Singer, rapper, and songwriter known for chantable hooks and genre-flex writing across dance, house, R&B, K-pop, and rap.","Singer/songwriter with chantable hooks"
"Habstrakt","los angeles","tbd","tbd","artist|producer|house|bass|dubstep|los angeles","French DJ/producer recognized for high-energy house and bass production, global touring, and major label releases.","French DJ/producer; high-energy house/bass"
"Jasper","los angeles","tbd","tbd","singer|songwriter|pop|electronic|los angeles","Dallas-born, LA-based singer/songwriter working in darker pop and electronic records.","Singer/songwriter; darker pop + electronic lane"
"Joris Mur","london","tbd","tbd","producer|writer|house|dance|london","Producer/writer from HotLap known for vocal-hook-driven house and dance records.","Producer/writer (HotLap); house/dance"
"Mattilo","los angeles","tbd","tbd","producer|dj|dance|los angeles","LA-based producer/DJ with viral growth and strong dance-floor focused records.","Producer/DJ; dance focus"
"Nuala","london","tbd","tbd","singer|songwriter|vocalist|drum and bass|dance|london","London singer/songwriter (also Nu-La) known for expressive vocals and lyric-forward dance features.","Also appears as Nu-La on club records"
"Omer Horovitz","los angeles","tbd","tbd","producer|engineer|techno|house|indie dance|los angeles","Producer/engineer (also Kalman) with credits across dance and hip-hop and in-house studio engineering leadership.","Producer + engineer; also known as Kalman"
"Rami Jrade","los angeles","tbd","tbd","writer|producer|pop|los angeles","Grammy-nominated writer/producer with major artist releases and notable global sync placements.","Grammy-nominated writer/producer"
"Samson","los angeles","tbd","tbd","producer|electronic|house|los angeles","Paris-born producer now LA-based, known for soulful electronic production and global performances.","Paris-born producer now based in LA"
"Matroda","croatia","tbd","tbd","producer|tech house|croatia","Croatian producer known for signature club-focused house records and festival support.","Croatian producer; mentioned in roster overview"
"Bruno Furlan","brazil","tbd","tbd","producer|tech house|brazil","Brazilian producer with underground-to-global tech-house momentum and strong label presence.","Brazilian producer; mentioned in roster overview"
"San Pacho","unknown","tbd","tbd","producer|tech house|unknown","Rising tech-house producer with globally supported, charting releases.","Rising tech-house artist; mentioned in roster overview"
